id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	36.139600348	1.505816681	0	0	24	24	1.505816681	-1.505816681	120	100	0.833333333	24	16	0.666666667	100	34	0.340000000	100	7588.397130854	7587.674338847	76	69	0.907894737
case_001	18	24	24.882718290	1.036779929	0	0	24	24	1.036779929	-1.036779929	120	100	0.833333333	24	17	0.708333333	100	22	0.220000000	100	7585.194026063	7584.696371697	76	75	0.986842105
case_002	19	24	36.148909109	1.506204546	0	0	24	24	1.506204546	-1.506204546	120	96	0.800000000	24	15	0.625000000	96	20	0.208333333	96	7487.943641613	7487.190539339	72	71	0.986111111
case_003	19	24	40.103697338	1.670987389	0	0	24	24	1.670987389	-1.670987389	120	97	0.808333333	24	14	0.583333333	97	23	0.237113402	97	7513.314431648	7512.487551291	73	73	1.000000000
case_004	15	24	49.356688887	2.056528704	0	0	24	24	2.056528704	-2.056528704	120	97	0.808333333	24	12	0.500000000	97	21	0.216494845	97	7514.308655529	7513.290991840	73	71	0.972602740
case_005	14	24	22.616710281	0.942362928	0	0	24	24	0.942362928	-0.942362928	120	96	0.800000000	24	20	0.833333333	96	22	0.229166667	96	7485.653903244	7485.182721780	72	71	0.986111111
case_006	18	24	51.214949763	2.133956240	0	0	24	24	2.133956240	-2.133956240	120	98	0.816666667	24	12	0.500000000	98	23	0.234693878	98	7539.685052326	7538.639849270	74	71	0.959459459
case_007	14	24	19.990073098	0.832919712	0	0	24	24	0.832919712	-0.832919712	120	119	0.991666667	24	20	0.833333333	119	74	0.621848739	119	7977.339130891	7977.003163276	95	89	0.936842105
case_008	20	24	41.592105548	1.733004398	0	0	24	24	1.733004398	-1.733004398	120	97	0.808333333	24	14	0.583333333	97	21	0.216494845	97	7512.967393381	7512.109824194	73	70	0.958904110
case_009	17	24	35.490028979	1.478751207	0	0	24	24	1.478751207	-1.478751207	120	106	0.883333333	24	15	0.625000000	106	32	0.301886792	106	7725.960277374	7725.290654186	82	77	0.939024390
case_010	26	24	43.475402457	1.811475102	0	0	24	24	1.811475102	-1.811475102	120	96	0.800000000	24	13	0.541666667	96	20	0.208333333	96	7488.043268425	7487.137530874	72	70	0.972222222
case_011	21	24	54.369671596	2.265402983	0	0	24	24	2.265402983	-2.265402983	120	98	0.816666667	24	12	0.500000000	98	20	0.204081633	98	7539.254245331	7538.144660196	74	71	0.959459459
case_012	22	24	47.167606452	1.965316935	0	0	24	24	1.965316935	-1.965316935	120	100	0.833333333	24	16	0.666666667	100	19	0.190000000	100	7588.143073798	7587.199721669	76	73	0.960526316
case_013	22	24	47.135773054	1.963990544	0	0	24	24	1.963990544	-1.963990544	120	97	0.808333333	24	16	0.666666667	97	20	0.206185567	97	7512.504230278	7511.532358668	73	69	0.945205479
